,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
103,44571,9352,2181,22,1257,0,176,615,30968,21292,11139,10100,10040,16181,1679,14502,2470,2431,3589,1991,1761,20779,23792,32545,5030,3659,5913,4937,1711,6489,4806,43030,39681,3349,47137,23709,21212,2497,7813,6037,4131,807,2424,1724,11644,30689,15357,47137,3694,3968,1096,293,2.66
104,61741,50629,749,12,3356,43,67,651,6234,52306,6743,1710,10312,21382,18246,3136,4656,4039,6887,2655,1065,29882,31859,43297,948,1698,14169,8328,3213,8861,6080,61725,59998,1727,95064,29989,28609,1380,13033,4528,6316,2364,2368,1575,47391,10939,3736,95064,6164,8533,2134,315,2.88
105,76078,1446,20567,89,1027,13,355,758,51823,38814,14331,19078,10452,26126,702,25424,4242,3090,3904,1550,698,34800,41278,45791,8936,7310,12198,7512,3315,5097,1423,75896,66890,9006,28277,34046,30533,3513,5108,12189,6530,1982,4724,1837,19479,51277,25773,28277,5693,8412,2632,610,2.88
106,76756,8909,19050,261,9627,0,746,1680,36483,44236,12475,11483,10462,29543,6600,22943,5193,3981,5118,3093,1034,36091,40665,53052,5148,5417,15009,9632,4286,8500,5060,76534,70700,5834,52409,41148,36847,4301,11450,10094,8881,2184,4238,1727,30013,41906,16885,52409,7692,8363,1983,399,2.59
107,59609,1535,19922,163,918,0,362,444,36265,39853,8302,5752,10473,20935,6189,14746,3642,3460,5050,2870,859,26916,32693,38996,4133,5360,11231,7513,3717,4862,2180,59300,55497,3803,41638,25150,22785,2365,6496,6473,5055,1321,3440,1745,25942,29851,9870,41638,5556,6352,1913,461,2.83
108,8831,6132,219,0,1497,0,63,312,608,6660,735,1236,10005,4374,859,3515,279,35,84,28,0,4003,4828,6586,48,3,296,141,273,3191,2634,8831,8594,237,173333,6981,6762,219,4820,214,1628,90,10,747,6673,1636,260,173333,954,647,13,0,2.02
109,33730,21570,1728,230,5773,0,135,591,3703,25960,3320,3570,10010,16390,4651,11739,1855,1101,2894,1165,664,17370,16360,25327,380,601,2190,1715,587,9368,10486,33550,32354,1196,117923,21461,20602,859,14926,1556,3504,303,313,1808,23938,8093,2176,117923,3351,2065,293,0,1.85
110,51057,33836,1780,31,9748,0,603,1516,3543,36127,7083,6708,10016,28916,8319,20597,2841,2126,4032,2186,1204,24165,26892,41216,811,803,2034,3140,1263,17917,15248,50844,49081,1763,117004,35885,34555,1330,25652,1582,6444,590,287,2167,34657,14490,4013,117004,5304,2132,387,22,1.71
111,15801,10825,354,0,3352,0,23,315,932,10320,2671,2430,10017,9905,4320,5585,844,874,2265,865,233,7134,8667,13615,215,205,575,1213,188,6249,4970,15801,15190,611,127506,11289,10959,330,8158,354,2083,122,242,1149,10594,4724,1255,127506,2113,790,71,0,1.57
112,39363,7744,19796,20,2308,0,70,1036,8389,28636,4939,4485,10026,15458,2352,13106,2275,1747,2359,1112,642,18124,21239,28584,1786,3246,5857,3590,1405,6661,6039,39062,36758,2304,58884,21093,19622,1471,10093,3841,3861,390,1437,1548,24323,12394,3639,58884,3342,3675,621,110,2.48
113,59607,14090,2448,20,1238,0,190,779,40842,29952,14692,13236,10033,19652,2054,17598,3763,2954,4669,2695,958,30216,29391,43303,7718,4569,7576,5457,2261,9416,6306,59593,54694,4899,58614,33224,30019,3205,11897,8376,5200,1472,3074,2035,15809,40192,21342,58614,4848,5210,1508,455,2.99
114,5085,3123,148,0,1533,0,0,224,57,3547,331,1207,10069,2552,675,1877,235,197,148,109,88,2354,2731,3697,29,24,179,130,96,1383,1856,5085,4992,93,110625,2978,2880,98,1990,22,852,0,16,893,2922,1795,580,110625,517,662,27,0,1.99
115,59256,42129,1766,0,5781,0,275,1998,7307,44297,7054,6535,10128,30691,10129,20562,2989,3494,6117,3537,1344,25338,33918,47668,539,836,3550,2391,1245,17976,21131,59244,57424,1820,114010,37239,35808,1431,25898,1724,6852,633,701,1707,39143,16909,3147,114010,8171,5192,530,3,1.92
116,42283,563,10288,85,521,156,92,206,30372,24181,5946,8007,10455,14401,1200,13201,2064,1752,2183,1173,514,20172,22111,25656,5207,4876,7127,3956,1454,2230,806,42171,37034,5137,26801,18123,15827,2296,2862,6100,3571,1234,2060,1688,10700,27736,12916,26801,2875,4747,1574,170,2.85
