ZCTA5CE10,GEOID_ZIP,CLASSFP10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_NUM,AVG_ASTHMA,AVG_SMOKING,AVG_DIABETES,AVG_MHLTH,AVG_OBESITY,AVG_PHLTH
11375,11375,B5,G6350,5152093,0,40.7209629,-73.84614,11375,7.9567,12.03,9.6533,10,20.17,10.09
11377,11377,B5,G6350,6569922,0,40.7448204,-73.9051607,11377,8.0047,15.2372,10.1419,11.8116,21.0233,11.086
11378,11378,B5,G6350,6674050,122157,40.7247442,-73.9096392,11378,8.6038,16.3692,9.8538,12.55,23.1692,11.8154
11379,11379,B5,G6350,5373688,0,40.7167526,-73.879598,11379,8.632,14.884,9.452,11.584,21.7,11.344
11385,11385,B5,G6350,9365111,82983,40.7006472,-73.8894227,11385,8.8844,16.1978,9.6267,12.9978,24.6067,11.8867
11411,11411,B5,G6350,3025177,0,40.6940251,-73.7362231,11411,11.2632,14.8579,13.4947,11.6579,31.2263,11.5
11412,11412,B5,G6350,4265905,0,40.6980965,-73.7589898,11412,11.5519,16.5815,13.3407,12.8444,31.763,12.2593
11413,11413,B5,G6350,8039776,61151,40.6711705,-73.7520631,11413,11.3862,15.5276,12.9759,12.0931,31.3759,11.5276
11414,11414,B5,G6350,5988196,206511,40.6576043,-73.844804,11414,9.6917,17.4417,11.4167,13.5667,25.4917,13.125
11004,11004,B5,G6350,2459128,0,40.7462055,-73.7114817,11004,7.7857,11.2286,11.1429,9.3,17.7143,11.0286
11101,11101,B5,G6350,6743196,236158,40.7475596,-73.9389416,11101,8.4929,15.25,9.2107,12.3179,22.3786,10.7393
11102,11102,B5,G6350,2042473,2387,40.7728839,-73.9262952,11102,8.8444,16.1556,9.1722,12.8556,23.1056,11.35
11103,11103,B5,G6350,1842767,0,40.7625756,-73.9134576,11103,8.5652,14.9,7.7391,12.0739,21.5609,9.8957
11104,11104,B5,G6350,1005110,0,40.7446474,-73.9202029,11104,7.975,14.35,9.5583,11.4667,21.4,10.5083
11105,11105,B5,G6350,4356927,0,40.7789714,-73.9062501,11105,8.7688,15.8437,8.4437,12.2875,22.3375,10.8688
11106,11106,B5,G6350,2214067,14591,40.7622113,-73.9315281,11106,8.69,15.545,9.485,12.635,23.4,11.135
11109,11109,B5,G6350,128895,24260,40.7459786,-73.9575239,11109,7.6667,9.4,5.3,8.9333,14.8,6.6
11201,11201,B5,G6350,3644692,39281,40.6937005,-73.9898589,11201,8.8743,12.9343,8.5343,11.22,19.0857,9.7171
11203,11203,B5,G6350,5555600,0,40.6495897,-73.9343744,11203,12.0533,17.5711,14.2489,13.5111,31.0467,13.0178
11204,11204,B5,G6350,4113158,0,40.6187771,-73.9848309,11204,9.6977,19.8116,10.8047,15.0349,21.5349,14.093
11205,11205,B5,G6350,2447361,0,40.6946616,-73.9662413,11205,10.532,17.708,9.916,14.564,25.604,11.88
11206,11206,B5,G6350,3715220,0,40.7019538,-73.9423577,11206,10.3056,19.125,10.8972,15.7778,26.8083,13.1667
11207,11207,B5,G6350,6920390,0,40.6707568,-73.8942089,11207,11.6306,19.7143,13.9714,15.8673,31.7449,14.6551
11208,11208,B5,G6350,9265807,0,40.668564,-73.8709902,11208,10.2651,18.3651,12.8442,14.7279,28.1907,13.7953
11209,11209,B5,G6350,5496341,0,40.6219934,-74.0301337,11209,8.8448,13.8621,8.4517,11.2862,19.6724,10.3552
11210,11210,B5,G6350,4251899,0,40.6281442,-73.946323,11210,10.8054,15.6216,11.0405,12.5622,26.0784,11.4568
11211,11211,B5,G6350,5988788,163645,40.7125973,-73.9530981,11211,9.4073,16.839,8.4976,14.0073,21.8098,11.4463
11212,11212,B5,G6350,3985437,0,40.6629321,-73.9130189,11212,12.95,22.0094,15.2781,16.9906,34.5125,15.8219
11213,11213,B5,G6350,2824124,0,40.6710795,-73.9363417,11213,12.0963,18.7074,12.9296,14.763,30.7111,13.1963
11214,11214,B5,G6350,5617496,8509,40.5991479,-73.9960898,11214,8.9538,16.7462,10.9564,12.7103,19.341,12.7205
11215,11215,B5,G6350,5633118,58928,40.6626879,-73.9867402,11215,8.4833,11.62,6.1367,10.16,19.1267,7.7833
11216,11216,B5,G6350,2421197,0,40.6807686,-73.9493128,11216,11.236,16.152,10.944,13.056,28.204,10.98
11217,11217,B5,G6350,1942445,8496,40.6823056,-73.9780993,11217,9.0143,11.4524,6.8238,10.2238,19.981,7.819
